time,lon_gcj02,lat_gcj02,state,step,remaining_m,straight_m,drift_m
21:39:03.544,116.174611,39.725974,IDLE,,,,0.0
21:39:04.546,116.174611,39.725974,IDLE,,,,0.0
21:39:05.548,116.174611,39.725974,IDLE,,,,0.0
21:39:06.549,116.174611,39.725974,IDLE,,,,0.0
21:39:07.551,116.174611,39.725975,IDLE,,,,0.1
21:39:08.552,116.174611,39.725975,IDLE,,,,0.1
21:39:09.554,116.174612,39.725976,IDLE,,,,0.1
21:39:10.556,116.174612,39.725976,IDLE,,,,0.1
21:39:11.558,116.174612,39.725977,IDLE,,,,0.1
21:39:12.560,116.174612,39.725978,IDLE,,,,0.1
21:39:13.562,116.174613,39.725978,IDLE,,,,0.1
21:39:14.592,116.174614,39.725979,IDLE,,,,0.2
21:39:15.593,116.174615,39.725979,IDLE,,,,0.2
21:39:16.595,116.174616,39.725980,IDLE,,,,0.1
21:39:17.597,116.174616,39.725980,PLANNING,,,,0.1
21:39:18.598,116.174616,39.725981,NAVIGATING,1,907.1,653.8,0.1
21:39:19.600,116.174617,39.725981,NAVIGATING,1,907.1,653.7,0.1
21:39:20.602,116.174617,39.725982,NAVIGATING,1,907.0,653.7,0.1
21:39:21.605,116.174618,39.725983,NAVIGATING,1,906.9,653.6,0.2
21:39:22.606,116.174618,39.725983,NAVIGATING,1,906.8,653.6,0.2
21:39:23.608,116.174619,39.725984,NAVIGATING,1,906.7,653.6,0.1
21:39:24.610,116.174620,39.725985,NAVIGATING,1,906.6,653.6,0.2
21:39:25.612,116.174621,39.725986,NAVIGATING,1,906.6,653.6,0.3
21:39:26.613,116.174622,39.725986,NAVIGATING,1,906.5,653.5,0.3
21:39:27.615,116.174623,39.725987,NAVIGATING,1,906.4,653.6,0.3
21:39:28.617,116.174625,39.725988,NAVIGATING,1,906.3,653.6,0.4
21:39:29.619,116.174627,39.725988,NAVIGATING,1,906.3,653.6,0.6
21:39:30.621,116.174629,39.725988,NAVIGATING,1,906.3,653.8,0.8
21:39:31.622,116.174632,39.725988,NAVIGATING,1,906.3,653.9,0.8
21:39:32.625,116.174636,39.725988,NAVIGATING,1,906.3,654.1,1.2
21:39:33.631,116.174640,39.725988,NAVIGATING,1,906.3,654.3,1.1
21:39:34.633,116.174643,39.725988,NAVIGATING,1,906.3,654.5,0.9
21:39:35.636,116.174647,39.725988,NAVIGATING,1,906.2,654.6,0.7
21:39:36.637,116.174649,39.725989,NAVIGATING,1,906.1,654.7,0.4
21:39:37.639,116.174652,39.725990,NAVIGATING,1,906.1,654.7,0.4
21:39:38.642,116.174655,39.725992,NAVIGATING,1,905.9,654.7,0.8
21:39:39.644,116.174657,39.725995,NAVIGATING,1,905.5,654.6,1.4
21:39:40.647,116.174659,39.726000,NAVIGATING,1,904.9,654.2,2.1
21:39:41.649,116.174662,39.726006,NAVIGATING,1,904.2,653.8,2.7
21:39:42.651,116.174664,39.726014,NAVIGATING,1,903.5,653.3,3.1
21:39:43.653,116.174666,39.726022,NAVIGATING,1,902.5,652.6,3.5
21:39:44.656,116.174669,39.726031,NAVIGATING,1,901.6,652.0,3.6
21:39:45.658,116.174671,39.726041,NAVIGATING,1,900.5,651.2,3.7
21:39:46.675,116.174673,39.726051,NAVIGATING,1,899.4,650.4,3.8
21:39:47.678,116.174675,39.726061,NAVIGATING,1,898.2,649.6,3.7
21:39:48.679,116.174676,39.726072,NAVIGATING,1,897.0,648.7,3.5
21:39:49.681,116.174678,39.726082,NAVIGATING,1,895.9,647.9,3.2
21:39:50.683,116.174679,39.726093,NAVIGATING,1,894.7,647.0,2.9
21:39:51.684,116.174680,39.726103,NAVIGATING,1,893.6,646.2,2.5
21:39:52.688,116.174682,39.726113,NAVIGATING,1,892.5,645.4,2.1
21:39:53.691,116.174683,39.726123,NAVIGATING,1,891.4,644.6,1.9
21:39:54.694,116.174685,39.726133,NAVIGATING,1,890.3,643.8,1.8
21:39:55.696,116.174686,39.726143,NAVIGATING,1,889.2,643.0,1.6
21:39:56.698,116.174688,39.726153,NAVIGATING,1,888.1,642.1,1.6
21:39:57.699,116.174689,39.726164,NAVIGATING,1,886.9,641.3,1.5
21:39:58.702,116.174690,39.726174,NAVIGATING,1,885.8,640.4,1.5
21:39:59.704,116.174691,39.726185,NAVIGATING,1,884.6,639.5,1.5
